# iJ      chisg*h^2            energy/h	             SF
   0    0.1000000E+01       -1.0000000E+00	  0.1000000E+01
   1    0.7000000E+01       -0.5000000E+00	  0.1000000E+01
   2    0.4081250E+02       -0.1562500E+00	  0.2937500E+01
   3    0.2296042E+03       -0.2031250E+00	  0.1070313E+02
   4    0.1247447E+04       -0.3176270E+00	  0.3887476E+02
   5    0.6670992E+04       -0.6896820E+00	  0.1510619E+03
   6    0.3526415E+05       -0.1590623E+01	  0.5984475E+03
   7    0.1850450E+06       -0.4158284E+01	  0.2434387E+04
   8    0.9657077E+06       -0.1118351E+02	  0.1003657E+05
   9    0.5020290E+07       -0.3126104E+02	  0.4188290E+05
  10    0.2602211E+08       -0.8782976E+02	  0.1761987E+06
  11    0.1345855E+09       -0.2455385E+03	  0.7460850E+06
  12    0.6949062E+09       -0.6595091E+03	  0.3173063E+07
  13    0.3583439E+10       -0.1613206E+04	  0.1353252E+08
  14    0.1846087E+11       -0.3044480E+04	  0.5778462E+08
